id,severity,description,repository,source,opened_at,closed_at,html_url,line_number,filepath,pattern_internal_id,image_name,image_tag
15349525-148e-4775-a5da-c907abd28da9,High,"Unsafe assignment to innerHTML (Variable 'message' declared as function parameter, which is considered unsafe. 'FunctionExpression' at 261:11)",acevedo,Codacy,2026-05-21T20:28:36.657Z,,https://app.codacy.com/p/877244/issues/index?resultDataId=131494340685,264,cuentas/static/cuentas/js/edit-subcuenta-modal.js,ESLint8_no-unsanitized_property,,
adce1f45-80af-499a-a506-bda3a1638873,Medium,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,acevedo,Codacy,2026-05-21T20:28:36.657Z,,https://app.codacy.com/p/877244/issues/index?resultDataId=131494340660,271,core/management/commands/populate_test_data.py,Bandit_B311,,
6669934e-d48d-40a8-a8c8-4d90bdfce8a5,High,Unsafe assignment to innerHTML,acevedo,Codacy,2026-05-21T20:28:36.657Z,,https://app.codacy.com/p/877244/issues/index?resultDataId=131494340674,61,cuentas/static/cuentas/js/edit-subcuenta-modal.js,ESLint8_no-unsanitized_property,,
60008b95-7f7d-476d-8b58-5d3f38cb8173,Medium,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,acevedo,Codacy,2026-05-21T20:28:36.657Z,,https://app.codacy.com/p/877244/issues/index?resultDataId=131494340654,252,core/management/commands/populate_test_data.py,Bandit_B311,,
d55e7469-651d-4b99-b37f-7b4858e2dda4,Critical,Possible hardcoded password (password),acevedo,Codacy,2026-05-21T20:28:36.657Z,,https://app.codacy.com/p/877244/issues/index?resultDataId=131494340795,19,alertas_notificaciones/test1.py,Prospector_dodgy,,
3e066f30-ab88-44a7-bd73-31f2d4ac75c7,Critical,A gitleaks gcp-api-key was detected which attempts to identify hard-coded credentials.,acevedo,Codacy,2026-05-21T20:28:36.657Z,,https://app.codacy.com/p/877244/issues/index?resultDataId=131494340898,12,alertas_notificaciones/tests.py,Semgrep_generic.secrets.gitleaks.gcp-api-key.gcp-api-key,,
ab7d995f-7622-4cda-9bfa-1523fa34397d,Critical,The application was found using an insecure or risky digest or signature algorithm.,acevedo,Codacy,2026-05-21T20:28:36.657Z,,https://app.codacy.com/p/877244/issues/index?resultDataId=131494340908,29,alertas_notificaciones/signal_decorators.py,Semgrep_python_crypto_rule-hash-md5,,
e3967bf0-269d-455c-b6e5-b28b27eb2242,High,Unencoded return value from function 'this.getModalHTML' used in HTML context,acevedo,Codacy,2026-05-21T20:28:36.657Z,,https://app.codacy.com/p/877244/issues/index?resultDataId=131494340689,121,cuentas/static/cuentas/js/transfer-modal.js,ESLint8_xss_no-mixed-html,,
2a3f230f-ce4b-434a-ba0c-cf9f11824d56,Critical,Generic API Key detected,acevedo,Codacy,2026-05-21T20:28:36.657Z,,https://app.codacy.com/p/877244/issues/index?resultDataId=131494340897,122,educacion_financiera/views_clean.py,Semgrep_generic.secrets.security.detected-generic-api-key.detected-generic-api-key,,
4d8f4ae7-6e55-434c-8e41-1185edeea2e0,High,Unencoded return value from function 'this.getModalHTML' used in HTML context,acevedo,Codacy,2026-05-21T20:28:36.657Z,,https://app.codacy.com/p/877244/issues/index?resultDataId=131494340675,72,gestion_financiera_basica/static/gestion_financiera_basica/js/transaction-modal.js,ESLint8_xss_no-mixed-html,,
a71f2446-d1c5-4759-a022-4c4cf00b5668,High,Detected user input into a generated CSV file using the built-in `csv` module.,acevedo,Codacy,2026-05-21T20:28:36.657Z,,https://app.codacy.com/p/877244/issues/index?resultDataId=131494340922,1192,analisis_reportes/views.py,Semgrep_python.django.security.injection.csv-writer-injection.csv-writer-injection,,
86707f30-e3f3-4ce9-a9e0-24990820961d,Medium,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,acevedo,Codacy,2026-05-21T20:28:36.657Z,,https://app.codacy.com/p/877244/issues/index?resultDataId=131494340653,270,core/management/commands/populate_test_data.py,Bandit_B311,,
